date,name,code,open,high,low,close,volume,turnover,turnover_rate
2018-09-27,佳力图,603912,6.45,6.5,6.23,6.23,20722,28129144.0,4.0
2018-09-28,佳力图,603912,6.24,6.35,6.24,6.28,10022,13486925.0,1.93
2018-10-08,佳力图,603912,6.09,6.14,5.66,5.66,24239,30812241.0,4.68
2018-10-09,佳力图,603912,5.69,5.88,5.67,5.77,18289,22766457.0,3.53
2018-10-10,佳力图,603912,5.74,5.98,5.74,5.88,22184,28042059.0,4.28
2018-10-11,佳力图,603912,5.38,5.66,5.23,5.23,30260,35696904.0,5.84
2018-10-12,佳力图,603912,5.22,5.38,4.84,5.28,23854,26989852.0,4.6
2018-10-15,佳力图,603912,5.3,5.48,5.23,5.3,17237,20109578.0,3.33
2018-10-16,佳力图,603912,5.3,5.41,5.12,5.21,15502,17741599.0,2.99
2018-10-17,佳力图,603912,5.31,5.44,5.09,5.39,28383,32812578.0,5.48
2018-10-18,佳力图,603912,5.28,5.31,5.06,5.11,21139,23988683.0,4.08
2018-10-19,佳力图,603912,5.03,5.3,4.91,5.3,24822,28017617.0,4.79
2018-10-22,佳力图,603912,5.28,5.62,5.28,5.49,43872,51870833.0,8.47
2018-10-23,佳力图,603912,5.49,5.51,5.21,5.27,30641,35595856.0,5.92
2018-10-24,佳力图,603912,5.18,5.34,5.18,5.27,16944,19414995.0,3.27
2018-10-25,佳力图,603912,5.06,5.09,4.85,4.97,26167,28477607.0,5.05
2018-10-26,佳力图,603912,5.04,5.34,4.98,5.12,26991,30210685.0,5.21
2018-10-29,佳力图,603912,5.12,5.48,4.96,5.28,38300,43709692.0,7.39
2018-10-30,佳力图,603912,5.19,5.21,4.98,5.15,31452,35052342.0,6.07
2018-10-31,佳力图,603912,5.18,5.29,4.98,5.18,38298,43035196.0,7.39
2018-11-01,佳力图,603912,5.19,5.36,5.19,5.27,45814,52681773.0,4.25
2018-11-02,佳力图,603912,5.31,5.45,5.31,5.41,41847,48903319.0,3.88
2018-11-05,佳力图,603912,5.4,5.51,5.26,5.39,35234,41175414.0,3.27
2018-11-06,佳力图,603912,5.42,5.42,5.24,5.37,21086,24360381.0,1.96
2018-11-07,佳力图,603912,5.34,5.54,5.29,5.46,41562,49045331.0,3.86
2018-11-08,佳力图,603912,5.49,5.49,5.35,5.37,23476,27551001.0,2.18
2018-11-09,佳力图,603912,5.3,5.48,5.28,5.41,26736,31423397.0,2.48
2018-11-12,佳力图,603912,5.4,5.54,5.34,5.53,29913,35537456.0,2.77
2018-11-13,佳力图,603912,5.43,5.59,5.41,5.58,38969,46526945.0,3.61
2018-11-14,佳力图,603912,5.54,5.6,5.48,5.52,30364,36439675.0,2.82
2018-11-15,佳力图,603912,5.48,5.69,5.47,5.69,40091,48565134.0,3.72
2018-11-16,佳力图,603912,5.72,5.85,5.59,5.77,61392,75975513.0,5.7
2018-11-19,佳力图,603912,5.78,5.78,5.62,5.73,27457,33778511.0,2.55
2018-11-20,佳力图,603912,5.65,5.71,5.57,5.62,22952,27975594.0,2.13
2018-11-21,佳力图,603912,5.54,5.65,5.46,5.63,21360,25691073.0,1.98
2018-11-22,佳力图,603912,5.64,5.67,5.57,5.61,12510,15181672.0,1.16
2018-11-23,佳力图,603912,5.62,5.62,5.14,5.16,22279,25895449.0,2.07
2018-11-26,佳力图,603912,5.2,5.25,5.12,5.22,12110,13727764.0,1.12
2018-11-27,佳力图,603912,5.22,5.54,5.22,5.4,25338,29677911.0,2.35
2018-11-28,佳力图,603912,5.38,5.72,5.32,5.66,45589,55214112.0,4.23
2018-11-29,佳力图,603912,5.66,5.73,5.44,5.45,38096,46272012.0,3.53
2018-11-30,佳力图,603912,5.49,6.05,5.45,5.92,86042,108711191.0,7.98
2018-12-03,佳力图,603912,6.05,6.24,5.9,6.14,94413,123402929.0,8.76
2018-12-04,佳力图,603912,6.03,6.08,5.93,5.98,48836,62898338.0,4.53
2018-12-05,佳力图,603912,5.85,5.92,5.77,5.87,26610,33519744.0,2.47
2018-12-06,佳力图,603912,5.81,5.85,5.57,5.61,33430,41145790.0,3.1
2018-12-07,佳力图,603912,5.69,5.81,5.65,5.72,30934,38318656.0,2.87
2018-12-10,佳力图,603912,5.72,5.99,5.64,5.84,35440,44559281.0,3.29
2018-12-11,佳力图,603912,5.81,6.11,5.77,6.06,61064,78652325.0,5.66
2018-12-12,佳力图,603912,6.09,6.09,5.88,6.04,39774,51097138.0,3.69
2018-12-13,佳力图,603912,5.97,6.19,5.97,6.12,46887,61396485.0,4.35
2018-12-14,佳力图,603912,6.09,6.09,5.8,5.8,30664,39211977.0,2.84
2018-12-17,佳力图,603912,5.74,5.95,5.74,5.92,21436,27154320.0,1.99
2018-12-18,佳力图,603912,5.92,6.08,5.9,6.02,35854,46245361.0,3.33
2018-12-19,佳力图,603912,6.01,6.3,5.91,6.16,60310,79830370.0,5.59
2018-12-20,佳力图,603912,6.05,6.44,5.96,6.44,65460,87007759.0,6.07
2018-12-21,佳力图,603912,6.38,6.56,6.21,6.44,63174,86356987.0,5.86
2018-12-24,佳力图,603912,6.38,6.74,6.34,6.71,74498,105019188.0,6.91
2018-12-25,佳力图,603912,6.6,6.9,6.37,6.89,76565,108960871.0,7.1
2018-12-26,佳力图,603912,6.85,6.85,6.46,6.47,63914,90465923.0,5.93
2018-12-27,佳力图,603912,6.54,6.64,6.37,6.4,49123,68266540.0,4.56
2018-12-28,佳力图,603912,6.29,6.49,6.16,6.23,42530,57181888.0,3.95
2019-01-02,佳力图,603912,6.21,6.54,6.21,6.41,40979,55958183.0,3.8
2019-01-03,佳力图,603912,6.4,6.41,5.94,5.95,44723,59100064.0,4.15
2019-01-04,佳力图,603912,5.85,6.4,5.64,6.39,49374,65347032.0,4.58
2019-01-07,佳力图,603912,6.42,6.64,6.39,6.46,43422,60325072.0,4.03
2019-01-08,佳力图,603912,6.47,6.62,6.31,6.32,37446,51529754.0,3.47
2019-01-09,佳力图,603912,6.37,6.57,6.27,6.4,38929,53766019.0,3.61
2019-01-10,佳力图,603912,6.36,6.61,6.33,6.54,43211,60107024.0,4.01
2019-01-11,佳力图,603912,6.51,6.67,6.44,6.52,36459,50845914.0,3.38
2019-01-14,佳力图,603912,6.48,6.51,6.2,6.35,29910,40362578.0,2.77
2019-01-15,佳力图,603912,6.24,6.61,6.11,6.61,47355,65795990.0,4.39
2019-01-16,佳力图,603912,6.56,6.63,6.44,6.48,27251,37939940.0,2.53
2019-01-17,佳力图,603912,6.45,6.84,6.44,6.66,62969,89587654.0,5.84
2019-01-18,佳力图,603912,6.64,6.69,6.35,6.52,35703,49612452.0,3.31
2019-01-21,佳力图,603912,6.49,6.64,6.43,6.51,24169,33658038.0,2.24
2019-01-22,佳力图,603912,6.5,6.5,6.34,6.4,20463,27973439.0,1.9
2019-01-23,佳力图,603912,6.37,6.37,6.06,6.15,34470,45692724.0,3.2
2019-01-24,佳力图,603912,6.16,6.28,6.13,6.22,17464,23276540.0,1.62
2019-01-25,佳力图,603912,6.22,6.26,6.04,6.04,22293,29318960.0,2.07
2019-01-28,佳力图,603912,6.04,6.21,6.04,6.09,14137,18616156.0,1.31
2019-01-29,佳力图,603912,6.04,6.09,5.44,5.7,29664,36685492.0,2.75
2019-01-30,佳力图,603912,5.68,5.79,5.55,5.6,9929,12214386.0,0.92
2019-01-31,佳力图,603912,5.54,5.72,5.47,5.47,19229,23184712.0,1.78
2019-02-01,佳力图,603912,5.52,5.68,5.52,5.64,10348,12576599.0,0.96
2019-02-11,佳力图,603912,6.05,6.27,6.05,6.27,11219,14993833.0,1.04
2019-02-12,佳力图,603912,6.95,6.95,6.95,6.95,24046,35491276.0,2.23
2019-02-13,佳力图,603912,7.32,7.7,7.03,7.7,221665,347799568.0,20.56
2019-02-14,佳力图,603912,7.29,7.72,7.21,7.52,189193,296084176.0,17.55
2019-02-15,佳力图,603912,7.33,8.09,7.22,7.46,190554,304078624.0,17.68
2019-02-18,佳力图,603912,7.4,8.16,7.39,7.87,173016,280576016.0,16.05
2019-02-19,佳力图,603912,7.72,7.83,7.49,7.62,128528,207668674.0,11.92
